row,col,top_w,bottom_w,left_h,right_h,top_angle,bottom_angle,bbox_w,bbox_h,center_x,center_y
0,0,181.00276240985937,183.0,96.317184344228,96.88137075826292,-0.31654804727300767,0.0,202.0,95.0,285.5,244.75
0,1,176.00284088616297,183.0109286354233,93.90420650854784,96.18731725128839,-0.3255406986592984,0.6261584535352005,189.0,96.0,505.25,244.75
0,2,167.01197561851666,184.0108692441835,92.91393867445294,96.08329719571451,-0.6861441978352362,0.6227556872063182,184.0,96.0,724.25,245.0
0,3,174.0028735394907,190.09471323527123,95.08417323613851,92.19544457292888,-0.3292824638466701,-1.8087393224920654,194.0,96.0,956.0,244.75
0,4,186.01075237738274,184.00271737123884,92.04890004774636,93.13431161500041,-0.6160599083992302,-0.3113870402748284,189.0,94.0,1171.0,245.25
0,5,200.0399960007998,224.03571143904713,96.04686356149273,90.47098982546837,1.1457628381751033,-1.0230301886678357,224.0,96.0,1401.5,245.0
1,0,201.0,216.0092590608097,114.47707194019246,109.77249200050075,0.0,-0.5305013166738104,229.0,111.0,258.25,375.0
1,1,194.0,215.02092921387907,111.46299834474219,107.0420478129973,0.0,-0.7994241133175477,215.0,110.0,491.25,375.25
1,2,185.0,193.0,109.45775440780794,109.01834707974616,0.0,0.0,195.0,109.0,717.5,375.5
1,3,189.0026454841307,207.0024154448445,110.3675676999362,108.37435120913067,0.3031494437141273,-0.27678905217775984,207.0,110.0,957.5,375.0
1,4,190.0,202.0,110.22250223978767,111.6288493177279,0.0,0.0,209.0,110.0,1188.5,375.0
1,5,210.03809178337153,214.00934559032697,111.0,109.07336980216573,1.091216225262598,0.5354589855645338,214.0,113.0,1426.0,375.0
2,0,214.00934559032697,247.00809703327542,131.21737689803132,127.0,-0.5354589855645338,-0.4639232986260873,247.0,129.0,221.75,523.5
2,1,220.00909072126996,223.00896842952304,129.1239714383042,128.76334882255898,-0.5208563745019587,-0.513849716354135,237.0,130.0,467.25,524.0
2,2,199.01004999748127,211.00236965494014,129.46814279968643,126.00396819148197,0.5758175932449805,-0.27154194568452233,211.0,129.0,708.0,523.75
2,3,201.0,219.0,130.5526713629407,130.13838787997952,0.0,0.0,219.0,130.0,964.0,523.0
2,4,209.00239233080563,239.0188277102873,129.31357237351384,132.67252918370102,0.2741403937332208,0.7191561165450754,239.0,132.0,1204.5,522.5
2,5,229.00218339570478,273.0164830188829,129.86916493148019,134.17153200288055,0.25019832019755295,0.6295986084102668,273.0,132.0,1449.0,522.5
